Date;Price;Open;High;Low;Vol.;Change;Vol
Dec172022;16678.9;16629;16764;16587;220.78;0.003;220780
Dec162022;16629.6;17356.7;17518.5;16542.4;303.56;-0.0419;303560
Dec152022;17356.1;17796.4;17846.1;17298.2;263.44;-0.0247;263440
Dec142022;17796.4;17778.6;18351.8;17682.1;318.98;0.001;318980
Dec132022;17778.6;17210.9;17951.6;17094.5;328.71;0.033;328710
Dec122022;17210.4;17093.2;17232.5;16878.5;249.39;0.0068;249390
Dec112022;17093.3;17127;17262.9;17080.6;167.2;-0.002;167200
Dec102022;17127.2;17125.7;17220.5;17105.7;148.81;0.0001;148810
Dec092022;17125.7;17225.6;17288.6;17082.1;260.84;-0.0058;260840
Dec082022;17225.7;16835.2;17294.2;16765.8;261.64;0.0232;261640
Dec072022;16835.2;17089.4;17126.7;16715.3;244.36;-0.0149;244360
Dec062022;17089.3;16966.3;17101.1;16914.9;246.19;0.0072;246190
Dec052022;16966.5;17106.9;17395.2;16886.9;268.72;-0.0085;268720
Dec042022;17112.6;16884.8;17198.1;16881.6;197.12;0.0135;197120
Dec032022;16884.5;17093.4;17132.6;16862.1;169.29;-0.0122;169290
Dec022022;17093.6;16972.2;17096.2;16799.9;227.01;0.0072;227010
Dec012022;16972;17163.4;17244.7;16868.9;266.14;-0.0112;266140
Nov302022;17163.9;16440.8;17215.5;16433.2;348.22;0.044;348220
Nov292022;16440.4;16211.9;16531.4;16100.1;271.58;0.0141;271580
Nov282022;16211.7;16426.1;16481.4;16013.5;284.84;-0.013;284840
Nov272022;16425.6;16456.4;16595.4;16414.6;173.25;-0.0019;173250
Nov262022;16456.5;16512.3;16686.3;16387.9;194.94;-0.0034;194940
Nov252022;16512.3;16600.6;16611.8;16360.9;204.07;-0.0054;204070
Nov242022;16601.2;16604.9;16785.6;16472;229.59;-0.0014;229590
Nov232022;16623.9;16216.9;16677.6;16162.3;305.08;0.0253;305080
Nov222022;16212.9;15776.6;16274.6;15620.4;287.21;0.0277;287210
Nov212022;15776.2;16278.6;16287.9;15504.2;372.15;-0.0313;372150
Nov202022;16286.7;16699.3;16749.3;16209.2;172.83;-0.0247;172830
Nov192022;16699.2;16652.2;16814.9;16608.9;114.89;0.0037;114890
Nov182022;16638.3;16715.4;16846.3;16553;241.96;-0.0032;241960
Nov172022;16691.2;16540.5;16739.7;16425.8;257;0.0091;257000
Nov162022;16540.5;16895.4;16993.4;16408.2;295.73;-0.021;295730
Nov152022;16895.1;16615;17112;16543.9;337.15;0.0169;337150
Nov142022;16613.7;16325;17158.4;15834;442.46;0.0177;442460
Nov132022;16324.5;16803.9;16946.5;16274.9;210.8;-0.028;210800
Nov122022;16795.2;17049.9;17100.8;16633.9;192.91;-0.0149;192910
Nov112022;17049.9;17589.1;17679.4;16435.5;466.35;-0.0307;466350
Nov102022;17589.1;15887;18138.2;15799.3;720.74;0.1071;720740
Nov092022;15886.9;18538.9;18583.8;15603.3;869.57;-0.1425;869570
Nov082022;18527.4;20589;20667.5;17260;865.1;-0.1001;865100
Nov072022;20589;20916.3;21055.4;20410.5;414.24;-0.0156;414240
Nov062022;20916.3;21298.7;21360.4;20901;242.26;-0.0181;242260
Nov052022;21301.6;21145.7;21464.7;21084.1;261.23;0.0074;261230
Nov042022;21145.9;20206.4;21281.9;20184.6;499.5;0.0465;499500
Nov032022;20206.4;20154;20384.5;20066.6;347.23;0.0026;347230
Nov022022;20154.4;20482.9;20778.3;20065.8;420.23;-0.0161;420230
Nov012022;20483.5;20496.1;20676.6;20348.1;302.72;-0.0006;302720
Oct312022;20496.3;20626;20822.4;20260;327.47;-0.0063;327470
Oct302022;20626.3;20809.4;20922.3;20522.5;207.63;-0.0088;207630
Oct292022;20809.8;20594.2;21038.1;20561.9;276.54;0.0105;276540
Oct282022;20594.4;20293;20744;20058.2;318.9;0.0149;318900
Oct272022;20292.9;20769.5;20867.9;20231.6;365.49;-0.0229;365490
Oct262022;20769.5;20086.8;20981.5;20062.9;427.99;0.0342;427990
Oct252022;20082.7;19331.8;20406.9;19249;371.54;0.0389;371540
